Status,Master Item Name,Tally Item Name,Master Row,Tally MASTERID,Tally GUID,Tally Parent,Tally Unit,Match Type,Difference
MISSING_FROM_TALLY,A1653-ALBUMIN FROM HUMAN SERUM,,3,,,,,,
MATCH_EXACT,2FSH2 F2 Anti FSH Beta Chain,2FSH2 F2 Anti FSH Beta Chain,4,10988,78389433-1b86-42de-bf30-a357884c54ea-00002aec,R&D Inventory,UG,EXACT,
MISSING_FROM_TALLY,SM01-0050-Assay Diluent - Protein Free,,5,,,,,,
MISSING_FROM_TALLY,131050- Antibody Stabilizer,,6,,,,,,
MISSING_FROM_TALLY,A3699-Acrylamide/bis-Acrylamide,,7,,,,,,
MATCH_EXACT,A2281-Amikacan Sulfate,A2281-Amikacan Sulfate,8,11121,78389433-1b86-42de-bf30-a357884c54ea-00002b71,R&D Inventory,MG,EXACT,
MATCH_EXACT,A2092-Anmpicillin Tridydrate,A2092-Anmpicillin Tridydrate,9,11120,78389433-1b86-42de-bf30-a357884c54ea-00002b70,R&D Inventory,MG,EXACT,
MISSING_FROM_TALLY,29281-8 - Acrylsaure(2-Hydroxy Ethyl Ester),,10,,,,,,
MATCH_EXACT,100066 -Anti-h Alpha Subunit - 6601-SPR5,100066 -Anti-h Alpha Subunit - 6601-SPR5,11,10919,78389433-1b86-42de-bf30-a357884c54ea-00002aa7,R&D Inventory,UG,EXACT,
MISSING_FROM_TALLY,NVIDIA RTX A4000 - 16GB CARD,,12,,,,,,
MISSING_FROM_TALLY,A3059-Albumin from Bovine Serum,,13,,,,,,
MISSING_FROM_TALLY,338818 - Ammonium Hydroxide Solution,,14,,,,,,
MATCH_EXACT,A7906-Bovine Serum Albumin,A7906-Bovine Serum Albumin,15,11124,78389433-1b86-42de-bf30-a357884c54ea-00002b74,R&D Inventory,MG,EXACT,
MATCH_EXACT,B4501-Biotin 99% (HPLC) Liophilized Powder,B4501-Biotin 99% (HPLC) Liophilized Powder,16,11164,78389433-1b86-42de-bf30-a357884c54ea-00002b9c,R&D Inventory,UG,EXACT,
MISSING_FROM_TALLY,621650500501730-BSA (Bovine Serum Albumin),,17,,,,,,
MISSING_FROM_TALLY,A2153 - Bovine Serum Albumin,,18,,,,,,
MISSING_FROM_TALLY,"411744- 1,4-Butanediol Diacrylate",,19,,,,,,
MISSING_FROM_TALLY,MB083-Bovin Serum Albumin,,20,,,,,,
