Sheet Row,ARN,Item Name,Selected Tally Parent,Unit,Classification,Reason,Tally MASTERID (if matched)
3,ACH-RD-CH-0001,A1653-ALBUMIN FROM HUMAN SERUM,,ug,INACTIVE_SKIP,Status is Inactive,
4,ACH-RD-CH-0002,2FSH2 F2 Anti FSH Beta Chain,,ug,NO_CHANGE,matches existing Tally item,10988
5,ACH-RD-CH-0003,SM01-0050-Assay Diluent - Protein Free,,,NOT_SELECTED,Tally Sync not selected for this row,
6,ACH-EN-EL-0001,131050- Antibody Stabilizer,,ul,NOT_SELECTED,Tally Sync not selected for this row,
7,ACH-RD-CH-0004,A3699-Acrylamide/bis-Acrylamide,,ul,NOT_SELECTED,Tally Sync not selected for this row,
8,ACH-RD-CH-0005,A2281-Amikacan Sulfate,,mg,NO_CHANGE,matches existing Tally item,11121
9,ACH-RD-CH-0006,A2092-Anmpicillin Tridydrate,,mg,NO_CHANGE,matches existing Tally item,11120
10,ACH-RD-CH-0007,29281-8 - Acrylsaure(2-Hydroxy Ethyl Ester),,ul,NOT_SELECTED,Tally Sync not selected for this row,
11,ACH-RD-AB-0001,100066 -Anti-h Alpha Subunit - 6601-SPR5,,ug,NO_CHANGE,matches existing Tally item,10919
12,ACH-GN-IT-0001,NVIDIA RTX A4000 - 16GB CARD,,No,NOT_SELECTED,Tally Sync not selected for this row,
13,ACH-RD-CH-0008,A3059-Albumin from Bovine Serum,,mg,NOT_SELECTED,Tally Sync not selected for this row,
14,ACH-RD-CH-0009,338818 - Ammonium Hydroxide Solution,,ul,NOT_SELECTED,Tally Sync not selected for this row,
15,ACH-RD-CH-0010,A7906-Bovine Serum Albumin,,mg,NO_CHANGE,matches existing Tally item,11124
16,ACH-RD-FL-0001,B4501-Biotin 99% (HPLC) Liophilized Powder,,ug,NO_CHANGE,matches existing Tally item,11164
17,ACH-RD-CH-0011,621650500501730-BSA (Bovine Serum Albumin),,mg,NOT_SELECTED,Tally Sync not selected for this row,
18,ACH-RD-CH-0012,A2153 - Bovine Serum Albumin,,mg,NOT_SELECTED,Tally Sync not selected for this row,
19,ACH-RD-CH-0013,"411744- 1,4-Butanediol Diacrylate",,ul,NOT_SELECTED,Tally Sync not selected for this row,
20,ACH-RD-CH-0014,MB083-Bovin Serum Albumin,,mg,NOT_SELECTED,Tally Sync not selected for this row,
21,ACH-RD-CH-0015,B6916-Bradford Reagent,,ul,UPDATE,unit differs: sheet='ul' vs tally='UI' (report only -- not auto-altered),11165
22,ACH-RD-CH-0016,B684970 - 2-Bromo 17 beta estradiol,,ug,NOT_SELECTED,Tally Sync not selected for this row,
23,ACH-RD-CH-0017,"C1063 - Chorionic Gonadotropin, Human",,ul,NOT_SELECTED,Tally Sync not selected for this row,
24,ACH-RD-KT-0001,Chikungunya IGM ELISA - MicroLisa,,Test,NOT_SELECTED,Tally Sync not selected for this row,
25,ACH-RD-FL-0002,CdTe Quantum Dots,,ug,NO_CHANGE,matches existing Tally item,11219
26,ACH-RD-KT-0002,Dengue IGM ELISA - MicroLisa,,Test,NOT_SELECTED,Tally Sync not selected for this row,
27,ACH-RD-KT-0003,Dengue IGG ELISA-MicroLisa,,Test,NOT_SELECTED,Tally Sync not selected for this row,
28,ACH-RD-CH-0018,522953-Dodecylbenzenesulfonic Acid 70 wt% Solution in 2-proponal,,ul,NOT_SELECTED,Tally Sync not selected for this row,
29,ACH-RD-CH-0019,D0632-DL-Dithiothreitol,,mg,NOT_SELECTED,Tally Sync not selected for this row,
30,ACH-RD-AB-0002,375.1% -Carboxylate -1.5 Mmol/g,,ul,NOT_SELECTED,Tally Sync not selected for this row,
31,ACH-RD-FL-0003,CMS095 - D-Biotin,,mg,NOT_SELECTED,Tally Sync not selected for this row,
32,ACH-RD-FL-0004,DY-647P4-NHS-Easter,,ug,REVIEW,duplicate Item Name within Master List,
33,ACH-RD-FL-0005,DY-647P4-NHS-Easter,,ug,REVIEW,duplicate Item Name within Master List,
